run_id,seed,dilemma_type,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
prisoners_HRG_T1.40_a0.50_s3,3,prisoners,HRG,1000,4.0,1.4,0.5,1.0,1.0,random,0.5,False,10000,0.112
prisoners_HRG_T1.40_a0.50_s3,3,prisoners,HRG,1000,4.0,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.156
prisoners_HRG_T1.40_a0.50_s4,4,prisoners,HRG,1000,3.998,1.4,0.5,1.0,1.0,random,0.5,False,10000,0.162
prisoners_HRG_T1.40_a0.50_s4,4,prisoners,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.139
prisoners_HRG_T1.40_a0.70_s0,0,prisoners,HRG,1000,3.998,1.4,0.7,1.0,1.0,random,0.5,False,10000,0.251
prisoners_HRG_T1.40_a0.70_s0,0,prisoners,HRG,1000,3.998,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.244
prisoners_HRG_T1.40_a0.70_s1,1,prisoners,HRG,1000,3.998,1.4,0.7,1.0,1.0,random,0.5,False,10000,0.195
prisoners_HRG_T1.40_a0.70_s1,1,prisoners,HRG,1000,3.998,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.25
prisoners_HRG_T1.40_a0.70_s2,2,prisoners,HRG,1000,4.0,1.4,0.7,1.0,1.0,random,0.5,False,10000,0.234
prisoners_HRG_T1.40_a0.70_s2,2,prisoners,HRG,1000,4.0,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.285
prisoners_HRG_T1.40_a0.70_s3,3,prisoners,HRG,1000,4.0,1.4,0.7,1.0,1.0,random,0.5,False,10000,0.192
